encoder,source,seed,protocol,n_shots,target,test_acc,test_f1_macro
cnnpff,KuHar,1,finetune,1,KuHar,0.5234375,0.4468176946574605
cnnpff,KuHar,1,finetune,1,MotionSense,0.2333984375,0.13565273559060806
cnnpff,KuHar,1,finetune,1,RealWorld_thigh,0.2513888888888889,0.15392491273344763
cnnpff,KuHar,1,finetune,1,RealWorld_waist,0.382421875,0.317098733808827
cnnpff,KuHar,1,finetune,1,UCI,0.246875,0.1246274018960202
cnnpff,KuHar,1,finetune,1,WISDM,0.380078125,0.2132185364584103
cnnpff,KuHar,1,finetune,10,KuHar,0.71875,0.6752579021667692
cnnpff,KuHar,1,finetune,10,MotionSense,0.263671875,0.26194617226945677
cnnpff,KuHar,1,finetune,10,RealWorld_thigh,0.31493055555555555,0.31744471589304607
cnnpff,KuHar,1,finetune,10,RealWorld_waist,0.527734375,0.5121801585038598
cnnpff,KuHar,1,finetune,10,UCI,0.2875,0.2706518720834211
cnnpff,KuHar,1,finetune,10,WISDM,0.32578125,0.23683160103040726
cnnpff,KuHar,1,finetune,100,KuHar,0.71875,0.680281307925469
cnnpff,KuHar,1,finetune,100,MotionSense,0.3916015625,0.32332349994886295
cnnpff,KuHar,1,finetune,100,RealWorld_thigh,0.4357638888888889,0.39835956290799235
cnnpff,KuHar,1,finetune,100,RealWorld_waist,0.6234375,0.5859372543257911
cnnpff,KuHar,1,finetune,100,UCI,0.3515625,0.30782442555736705
cnnpff,KuHar,1,finetune,100,WISDM,0.424609375,0.30021984894196446
cnnpff,KuHar,1,finetune,full,KuHar,0.78125,0.7494209805134174
cnnpff,KuHar,1,finetune,full,MotionSense,0.4580078125,0.40166568641649397
cnnpff,KuHar,1,finetune,full,RealWorld_thigh,0.496875,0.45536986178828665
cnnpff,KuHar,1,finetune,full,RealWorld_waist,0.635546875,0.586714701496078
cnnpff,KuHar,1,finetune,full,UCI,0.3640625,0.30182196650139126
cnnpff,KuHar,1,finetune,full,WISDM,0.487890625,0.32412258848826925
cnnpff,KuHar,1,linear,1,KuHar,0.453125,0.3494164139325429
cnnpff,KuHar,1,linear,1,MotionSense,0.400390625,0.271715227023757
cnnpff,KuHar,1,linear,1,RealWorld_thigh,0.30625,0.16984267682906037
cnnpff,KuHar,1,linear,1,RealWorld_waist,0.4046875,0.36359322628963975
cnnpff,KuHar,1,linear,1,UCI,0.2953125,0.14457912457912458
cnnpff,KuHar,1,linear,1,WISDM,0.385546875,0.19235957936261153
cnnpff,KuHar,1,linear,10,KuHar,0.578125,0.4946215251872664
cnnpff,KuHar,1,linear,10,MotionSense,0.4716796875,0.3232485750761951
cnnpff,KuHar,1,linear,10,RealWorld_thigh,0.34444444444444444,0.22075447488783032
cnnpff,KuHar,1,linear,10,RealWorld_waist,0.527734375,0.509721369899495
cnnpff,KuHar,1,linear,10,UCI,0.2578125,0.12355065559638856
cnnpff,KuHar,1,linear,10,WISDM,0.457421875,0.2355956744679918
cnnpff,KuHar,1,linear,100,KuHar,0.6640625,0.5931971677559913
cnnpff,KuHar,1,linear,100,MotionSense,0.4443359375,0.3320106081553195
cnnpff,KuHar,1,linear,100,RealWorld_thigh,0.4114583333333333,0.29795421439250963
cnnpff,KuHar,1,linear,100,RealWorld_waist,0.6484375,0.6046416125674875
cnnpff,KuHar,1,linear,100,UCI,0.428125,0.401585156604512
cnnpff,KuHar,1,linear,100,WISDM,0.316015625,0.20405707322342095
cnnpff,KuHar,1,linear,full,KuHar,0.6875,0.6207754505310896
cnnpff,KuHar,1,linear,full,MotionSense,0.427734375,0.32921329584721043
cnnpff,KuHar,1,linear,full,RealWorld_thigh,0.39861111111111114,0.2968532372820252
cnnpff,KuHar,1,linear,full,RealWorld_waist,0.626171875,0.5872110151019144
cnnpff,KuHar,1,linear,full,UCI,0.3859375,0.36637655206229514
cnnpff,KuHar,1,linear,full,WISDM,0.293359375,0.1934890336665043
