encoder,source,seed,protocol,n_shots,target,test_acc,test_f1_macro
cnnpff,MotionSense,2,finetune,1,KuHar,0.28125,0.21434695572626605
cnnpff,MotionSense,2,finetune,1,MotionSense,0.33203125,0.30579682293504307
cnnpff,MotionSense,2,finetune,1,RealWorld_thigh,0.240625,0.16879667891875894
cnnpff,MotionSense,2,finetune,1,RealWorld_waist,0.267578125,0.15225799959593916
cnnpff,MotionSense,2,finetune,1,UCI,0.4046875,0.24120203386321828
cnnpff,MotionSense,2,finetune,1,WISDM,0.341015625,0.18938552687000754
cnnpff,MotionSense,2,finetune,10,KuHar,0.2890625,0.2146627565982405
cnnpff,MotionSense,2,finetune,10,MotionSense,0.8447265625,0.8469759965687679
cnnpff,MotionSense,2,finetune,10,RealWorld_thigh,0.6357638888888889,0.6322556386541619
cnnpff,MotionSense,2,finetune,10,RealWorld_waist,0.33515625,0.2265520822215565
cnnpff,MotionSense,2,finetune,10,UCI,0.396875,0.34401614555904403
cnnpff,MotionSense,2,finetune,10,WISDM,0.5078125,0.3904171661709148
cnnpff,MotionSense,2,finetune,100,KuHar,0.3671875,0.2936908407496643
cnnpff,MotionSense,2,finetune,100,MotionSense,0.9501953125,0.9501489465220577
cnnpff,MotionSense,2,finetune,100,RealWorld_thigh,0.7211805555555556,0.7193131885748248
cnnpff,MotionSense,2,finetune,100,RealWorld_waist,0.471875,0.4273741134180871
cnnpff,MotionSense,2,finetune,100,UCI,0.503125,0.3512869214591096
cnnpff,MotionSense,2,finetune,100,WISDM,0.677734375,0.4922231748105463
cnnpff,MotionSense,2,finetune,full,KuHar,0.4453125,0.40371850371850365
cnnpff,MotionSense,2,finetune,full,MotionSense,0.9501953125,0.9498576442558503
cnnpff,MotionSense,2,finetune,full,RealWorld_thigh,0.7246527777777778,0.7226221263179718
cnnpff,MotionSense,2,finetune,full,RealWorld_waist,0.4296875,0.385230536847901
cnnpff,MotionSense,2,finetune,full,UCI,0.4546875,0.35142418081659443
cnnpff,MotionSense,2,finetune,full,WISDM,0.664453125,0.48303489439883207
cnnpff,MotionSense,2,linear,1,KuHar,0.25,0.15264735264735266
cnnpff,MotionSense,2,linear,1,MotionSense,0.3896484375,0.3454310858161902
cnnpff,MotionSense,2,linear,1,RealWorld_thigh,0.3402777777777778,0.31831004130172497
cnnpff,MotionSense,2,linear,1,RealWorld_waist,0.307421875,0.22098829119347999
cnnpff,MotionSense,2,linear,1,UCI,0.3671875,0.2376244909973998
cnnpff,MotionSense,2,linear,1,WISDM,0.262890625,0.20437929369127342
cnnpff,MotionSense,2,linear,10,KuHar,0.359375,0.2609244518921938
cnnpff,MotionSense,2,linear,10,MotionSense,0.7822265625,0.7772670037235709
cnnpff,MotionSense,2,linear,10,RealWorld_thigh,0.5815972222222222,0.5558260999957896
cnnpff,MotionSense,2,linear,10,RealWorld_waist,0.426171875,0.37405621959281915
cnnpff,MotionSense,2,linear,10,UCI,0.3984375,0.3055327371376466
cnnpff,MotionSense,2,linear,10,WISDM,0.54140625,0.3812396037842025
cnnpff,MotionSense,2,linear,100,KuHar,0.453125,0.35030805720460895
cnnpff,MotionSense,2,linear,100,MotionSense,0.826171875,0.8269990298853247
cnnpff,MotionSense,2,linear,100,RealWorld_thigh,0.6579861111111112,0.6559978338368003
cnnpff,MotionSense,2,linear,100,RealWorld_waist,0.523046875,0.47673990966878316
cnnpff,MotionSense,2,linear,100,UCI,0.5328125,0.40292962244323083
cnnpff,MotionSense,2,linear,100,WISDM,0.620703125,0.45618696437093886
cnnpff,MotionSense,2,linear,full,KuHar,0.4375,0.3630556714411533
cnnpff,MotionSense,2,linear,full,MotionSense,0.83984375,0.8407586991772135
cnnpff,MotionSense,2,linear,full,RealWorld_thigh,0.6555555555555556,0.6496085375506198
cnnpff,MotionSense,2,linear,full,RealWorld_waist,0.5,0.4560208414761356
cnnpff,MotionSense,2,linear,full,UCI,0.5234375,0.38458019244695524
cnnpff,MotionSense,2,linear,full,WISDM,0.592578125,0.4440984363878557
