encoder,source,seed,protocol,n_shots,target,test_acc,test_f1_macro
cnnpff,RealWorld_waist,1,finetune,1,KuHar,0.359375,0.28672476948339015
cnnpff,RealWorld_waist,1,finetune,1,MotionSense,0.388671875,0.27576284179326566
cnnpff,RealWorld_waist,1,finetune,1,RealWorld_thigh,0.3506944444444444,0.224979331625605
cnnpff,RealWorld_waist,1,finetune,1,RealWorld_waist,0.544140625,0.5471058208118199
cnnpff,RealWorld_waist,1,finetune,1,UCI,0.4015625,0.35612288982980794
cnnpff,RealWorld_waist,1,finetune,1,WISDM,0.29140625,0.191296359669084
cnnpff,RealWorld_waist,1,finetune,10,KuHar,0.6796875,0.5974060985457207
cnnpff,RealWorld_waist,1,finetune,10,MotionSense,0.4619140625,0.39343010191671174
cnnpff,RealWorld_waist,1,finetune,10,RealWorld_thigh,0.475,0.4148410204070405
cnnpff,RealWorld_waist,1,finetune,10,RealWorld_waist,0.744921875,0.7450839699402522
cnnpff,RealWorld_waist,1,finetune,10,UCI,0.6703125,0.5787023257050561
cnnpff,RealWorld_waist,1,finetune,10,WISDM,0.3109375,0.22530359099541597
cnnpff,RealWorld_waist,1,finetune,100,KuHar,0.671875,0.6146668224329395
cnnpff,RealWorld_waist,1,finetune,100,MotionSense,0.4619140625,0.3841370843217811
cnnpff,RealWorld_waist,1,finetune,100,RealWorld_thigh,0.4579861111111111,0.3828937485743078
cnnpff,RealWorld_waist,1,finetune,100,RealWorld_waist,0.79453125,0.7932874336704102
cnnpff,RealWorld_waist,1,finetune,100,UCI,0.6859375,0.5026425851313708
cnnpff,RealWorld_waist,1,finetune,100,WISDM,0.296484375,0.21859690525269393
cnnpff,RealWorld_waist,1,finetune,full,KuHar,0.5703125,0.5119132357972188
cnnpff,RealWorld_waist,1,finetune,full,MotionSense,0.41015625,0.3604520178936372
cnnpff,RealWorld_waist,1,finetune,full,RealWorld_thigh,0.47118055555555555,0.39568808163881414
cnnpff,RealWorld_waist,1,finetune,full,RealWorld_waist,0.780078125,0.7820810785348863
cnnpff,RealWorld_waist,1,finetune,full,UCI,0.715625,0.5375304589594448
cnnpff,RealWorld_waist,1,finetune,full,WISDM,0.395703125,0.2823423752055026
cnnpff,RealWorld_waist,1,linear,1,KuHar,0.15625,0.048661800486618
cnnpff,RealWorld_waist,1,linear,1,MotionSense,0.1015625,0.030952380952380953
cnnpff,RealWorld_waist,1,linear,1,RealWorld_thigh,0.16597222222222222,0.04790539186209661
cnnpff,RealWorld_waist,1,linear,1,RealWorld_waist,0.181640625,0.09350051195073328
cnnpff,RealWorld_waist,1,linear,1,UCI,0.175,0.07685300207039339
cnnpff,RealWorld_waist,1,linear,1,WISDM,0.196875,0.05570291777188329
cnnpff,RealWorld_waist,1,linear,10,KuHar,0.53125,0.4635968495775429
cnnpff,RealWorld_waist,1,linear,10,MotionSense,0.3486328125,0.2195348528206059
cnnpff,RealWorld_waist,1,linear,10,RealWorld_thigh,0.4079861111111111,0.33388402391557026
cnnpff,RealWorld_waist,1,linear,10,RealWorld_waist,0.651953125,0.6461121337226777
cnnpff,RealWorld_waist,1,linear,10,UCI,0.55625,0.4106631700795456
cnnpff,RealWorld_waist,1,linear,10,WISDM,0.246484375,0.13895828652935752
cnnpff,RealWorld_waist,1,linear,100,KuHar,0.625,0.5639220259485366
cnnpff,RealWorld_waist,1,linear,100,MotionSense,0.544921875,0.4614140185584919
cnnpff,RealWorld_waist,1,linear,100,RealWorld_thigh,0.5333333333333333,0.47605837302765064
cnnpff,RealWorld_waist,1,linear,100,RealWorld_waist,0.790234375,0.7914813129861793
cnnpff,RealWorld_waist,1,linear,100,UCI,0.6125,0.4414737388203287
cnnpff,RealWorld_waist,1,linear,100,WISDM,0.328515625,0.2304315228464331
cnnpff,RealWorld_waist,1,linear,full,KuHar,0.609375,0.5565312367020147
cnnpff,RealWorld_waist,1,linear,full,MotionSense,0.4638671875,0.3948309584966779
cnnpff,RealWorld_waist,1,linear,full,RealWorld_thigh,0.48680555555555555,0.42423606219313204
cnnpff,RealWorld_waist,1,linear,full,RealWorld_waist,0.79296875,0.7945243251005744
cnnpff,RealWorld_waist,1,linear,full,UCI,0.615625,0.45595892452508996
cnnpff,RealWorld_waist,1,linear,full,WISDM,0.284375,0.20198747139520737
