encoder,source,seed,protocol,n_shots,target,test_acc,test_f1_macro
resnetse5,MotionSense,1,finetune,1,KuHar,0.2421875,0.16333327600933234
resnetse5,MotionSense,1,finetune,1,MotionSense,0.5078125,0.44864766466234357
resnetse5,MotionSense,1,finetune,1,RealWorld_thigh,0.48993055555555554,0.41480204262274123
resnetse5,MotionSense,1,finetune,1,RealWorld_waist,0.419921875,0.3687455114898614
resnetse5,MotionSense,1,finetune,1,UCI,0.4109375,0.3628147516344411
resnetse5,MotionSense,1,finetune,1,WISDM,0.30390625,0.2279810755872709
resnetse5,MotionSense,1,finetune,10,KuHar,0.3828125,0.2127255460588794
resnetse5,MotionSense,1,finetune,10,MotionSense,0.7734375,0.7664020088620003
resnetse5,MotionSense,1,finetune,10,RealWorld_thigh,0.634375,0.6352588842529215
resnetse5,MotionSense,1,finetune,10,RealWorld_waist,0.373046875,0.30434094550291885
resnetse5,MotionSense,1,finetune,10,UCI,0.4,0.3502724184712319
resnetse5,MotionSense,1,finetune,10,WISDM,0.50703125,0.3749093402142865
resnetse5,MotionSense,1,finetune,100,KuHar,0.3828125,0.22453133720739352
resnetse5,MotionSense,1,finetune,100,MotionSense,0.88671875,0.8872938896246209
resnetse5,MotionSense,1,finetune,100,RealWorld_thigh,0.7454861111111111,0.7479468018577294
resnetse5,MotionSense,1,finetune,100,RealWorld_waist,0.3203125,0.3130843895807098
resnetse5,MotionSense,1,finetune,100,UCI,0.4015625,0.40360741807605
resnetse5,MotionSense,1,finetune,100,WISDM,0.648046875,0.4530873943061949
resnetse5,MotionSense,1,finetune,full,KuHar,0.3984375,0.3776302650689905
resnetse5,MotionSense,1,finetune,full,MotionSense,0.9169921875,0.9163263673512451
resnetse5,MotionSense,1,finetune,full,RealWorld_thigh,0.7465277777777778,0.747195257815787
resnetse5,MotionSense,1,finetune,full,RealWorld_waist,0.368359375,0.33058952198273783
resnetse5,MotionSense,1,finetune,full,UCI,0.46875,0.41119510563461315
resnetse5,MotionSense,1,finetune,full,WISDM,0.582421875,0.4319443726026238
resnetse5,MotionSense,1,linear,1,KuHar,0.171875,0.12222222222222222
resnetse5,MotionSense,1,linear,1,MotionSense,0.1552734375,0.12494409061022543
resnetse5,MotionSense,1,linear,1,RealWorld_thigh,0.14791666666666667,0.12055072772988334
resnetse5,MotionSense,1,linear,1,RealWorld_waist,0.191796875,0.13442749356224784
resnetse5,MotionSense,1,linear,1,UCI,0.1390625,0.09407399145992625
resnetse5,MotionSense,1,linear,1,WISDM,0.132421875,0.1366845605755304
resnetse5,MotionSense,1,linear,10,KuHar,0.40625,0.27525252525252525
resnetse5,MotionSense,1,linear,10,MotionSense,0.578125,0.5783047024505167
resnetse5,MotionSense,1,linear,10,RealWorld_thigh,0.41770833333333335,0.37109089637175385
resnetse5,MotionSense,1,linear,10,RealWorld_waist,0.369921875,0.3000220970202619
resnetse5,MotionSense,1,linear,10,UCI,0.4046875,0.3622393561768061
resnetse5,MotionSense,1,linear,10,WISDM,0.40390625,0.2780778605864918
resnetse5,MotionSense,1,linear,100,KuHar,0.3984375,0.22735606894022733
resnetse5,MotionSense,1,linear,100,MotionSense,0.751953125,0.7518667892307742
resnetse5,MotionSense,1,linear,100,RealWorld_thigh,0.5902777777777778,0.580288782235821
resnetse5,MotionSense,1,linear,100,RealWorld_waist,0.38046875,0.3391769077229527
resnetse5,MotionSense,1,linear,100,UCI,0.4625,0.40482483477197356
resnetse5,MotionSense,1,linear,100,WISDM,0.52890625,0.3848880121769982
resnetse5,MotionSense,1,linear,full,KuHar,0.5078125,0.39293459508433565
resnetse5,MotionSense,1,linear,full,MotionSense,0.744140625,0.7403847293132054
resnetse5,MotionSense,1,linear,full,RealWorld_thigh,0.6552083333333333,0.6497180109684356
resnetse5,MotionSense,1,linear,full,RealWorld_waist,0.35078125,0.3092003176637775
resnetse5,MotionSense,1,linear,full,UCI,0.4171875,0.34856796355827735
resnetse5,MotionSense,1,linear,full,WISDM,0.603125,0.4415810883326989
