encoder,source,seed,protocol,n_shots,target,test_acc,test_f1_macro
resnetse5,RealWorld_thigh,2,finetune,1,KuHar,0.3359375,0.29486466621928226
resnetse5,RealWorld_thigh,2,finetune,1,MotionSense,0.4130859375,0.3931368602053443
resnetse5,RealWorld_thigh,2,finetune,1,RealWorld_thigh,0.4652777777777778,0.42952033325509476
resnetse5,RealWorld_thigh,2,finetune,1,RealWorld_waist,0.225390625,0.1258645739531036
resnetse5,RealWorld_thigh,2,finetune,1,UCI,0.2546875,0.1725457858082846
resnetse5,RealWorld_thigh,2,finetune,1,WISDM,0.35078125,0.27306499981877635
resnetse5,RealWorld_thigh,2,finetune,10,KuHar,0.5625,0.3626463604356014
resnetse5,RealWorld_thigh,2,finetune,10,MotionSense,0.607421875,0.5290342206394928
resnetse5,RealWorld_thigh,2,finetune,10,RealWorld_thigh,0.6534722222222222,0.6084137807473647
resnetse5,RealWorld_thigh,2,finetune,10,RealWorld_waist,0.40625,0.3667509982454788
resnetse5,RealWorld_thigh,2,finetune,10,UCI,0.4125,0.27938337703962707
resnetse5,RealWorld_thigh,2,finetune,10,WISDM,0.6390625,0.40048091237673833
resnetse5,RealWorld_thigh,2,finetune,100,KuHar,0.3828125,0.2632946001367054
resnetse5,RealWorld_thigh,2,finetune,100,MotionSense,0.814453125,0.8071919899028877
resnetse5,RealWorld_thigh,2,finetune,100,RealWorld_thigh,0.8069444444444445,0.8088715173535431
resnetse5,RealWorld_thigh,2,finetune,100,RealWorld_waist,0.455078125,0.40937717492988995
resnetse5,RealWorld_thigh,2,finetune,100,UCI,0.5515625,0.3891700699453248
resnetse5,RealWorld_thigh,2,finetune,100,WISDM,0.642578125,0.45705246505908104
resnetse5,RealWorld_thigh,2,finetune,full,KuHar,0.3984375,0.26964380648591174
resnetse5,RealWorld_thigh,2,finetune,full,MotionSense,0.8203125,0.8080004584175998
resnetse5,RealWorld_thigh,2,finetune,full,RealWorld_thigh,0.7975694444444444,0.7997691294527326
resnetse5,RealWorld_thigh,2,finetune,full,RealWorld_waist,0.45546875,0.38432908761685575
resnetse5,RealWorld_thigh,2,finetune,full,UCI,0.584375,0.4138087475116721
resnetse5,RealWorld_thigh,2,finetune,full,WISDM,0.648046875,0.45895021875059383
resnetse5,RealWorld_thigh,2,linear,1,KuHar,0.171875,0.1971748624892641
resnetse5,RealWorld_thigh,2,linear,1,MotionSense,0.291015625,0.2569690237313422
resnetse5,RealWorld_thigh,2,linear,1,RealWorld_thigh,0.315625,0.2799167195925906
resnetse5,RealWorld_thigh,2,linear,1,RealWorld_waist,0.090234375,0.06427478015017006
resnetse5,RealWorld_thigh,2,linear,1,UCI,0.0375,0.03260087911006495
resnetse5,RealWorld_thigh,2,linear,1,WISDM,0.100390625,0.0963865294977919
resnetse5,RealWorld_thigh,2,linear,10,KuHar,0.4296875,0.3630379768553071
resnetse5,RealWorld_thigh,2,linear,10,MotionSense,0.5048828125,0.4943605553579524
resnetse5,RealWorld_thigh,2,linear,10,RealWorld_thigh,0.5663194444444445,0.5585921992590538
resnetse5,RealWorld_thigh,2,linear,10,RealWorld_waist,0.4484375,0.4316060003243036
resnetse5,RealWorld_thigh,2,linear,10,UCI,0.596875,0.46776256604886646
resnetse5,RealWorld_thigh,2,linear,10,WISDM,0.5109375,0.39183509648504583
resnetse5,RealWorld_thigh,2,linear,100,KuHar,0.390625,0.2779316371872038
resnetse5,RealWorld_thigh,2,linear,100,MotionSense,0.7607421875,0.7560471865189209
resnetse5,RealWorld_thigh,2,linear,100,RealWorld_thigh,0.6871527777777777,0.6910723484623461
resnetse5,RealWorld_thigh,2,linear,100,RealWorld_waist,0.4859375,0.44492007224442465
resnetse5,RealWorld_thigh,2,linear,100,UCI,0.5796875,0.4785704456462039
resnetse5,RealWorld_thigh,2,linear,100,WISDM,0.6046875,0.42778352450522067
resnetse5,RealWorld_thigh,2,linear,full,KuHar,0.3828125,0.2644734903957237
resnetse5,RealWorld_thigh,2,linear,full,MotionSense,0.759765625,0.7546789633816929
resnetse5,RealWorld_thigh,2,linear,full,RealWorld_thigh,0.7128472222222222,0.7165210734279062
resnetse5,RealWorld_thigh,2,linear,full,RealWorld_waist,0.4546875,0.40120624037096064
resnetse5,RealWorld_thigh,2,linear,full,UCI,0.509375,0.3981088376552438
resnetse5,RealWorld_thigh,2,linear,full,WISDM,0.6015625,0.4273739474210993
