encoder,source,seed,protocol,n_shots,target,test_acc,test_f1_macro
resnetse5,UCI,3,finetune,1,KuHar,0.09375,0.09577332865004097
resnetse5,UCI,3,finetune,1,MotionSense,0.2509765625,0.17785418066398329
resnetse5,UCI,3,finetune,1,RealWorld_thigh,0.23958333333333334,0.16983884625680387
resnetse5,UCI,3,finetune,1,RealWorld_waist,0.273828125,0.1976265175807054
resnetse5,UCI,3,finetune,1,UCI,0.375,0.36601943101511974
resnetse5,UCI,3,finetune,1,WISDM,0.1359375,0.10883457886327856
resnetse5,UCI,3,finetune,10,KuHar,0.3046875,0.2375999742002064
resnetse5,UCI,3,finetune,10,MotionSense,0.3515625,0.29921611625488637
resnetse5,UCI,3,finetune,10,RealWorld_thigh,0.27708333333333335,0.20791328810681964
resnetse5,UCI,3,finetune,10,RealWorld_waist,0.48203125,0.414770569370796
resnetse5,UCI,3,finetune,10,UCI,0.796875,0.7766772263380205
resnetse5,UCI,3,finetune,10,WISDM,0.313671875,0.23242508339640622
resnetse5,UCI,3,finetune,100,KuHar,0.4296875,0.3681823606635637
resnetse5,UCI,3,finetune,100,MotionSense,0.3359375,0.29044974306437105
resnetse5,UCI,3,finetune,100,RealWorld_thigh,0.32013888888888886,0.2559493751759143
resnetse5,UCI,3,finetune,100,RealWorld_waist,0.528125,0.4664056563329128
resnetse5,UCI,3,finetune,100,UCI,0.9140625,0.9021721152922619
resnetse5,UCI,3,finetune,100,WISDM,0.29453125,0.22495333202551807
resnetse5,UCI,3,finetune,full,KuHar,0.46875,0.39000814000814005
resnetse5,UCI,3,finetune,full,MotionSense,0.3330078125,0.29024851803147733
resnetse5,UCI,3,finetune,full,RealWorld_thigh,0.3232638888888889,0.2043699634488214
resnetse5,UCI,3,finetune,full,RealWorld_waist,0.501953125,0.4340768718077679
resnetse5,UCI,3,finetune,full,UCI,0.971875,0.9669302499222769
resnetse5,UCI,3,finetune,full,WISDM,0.426171875,0.2885506197919765
resnetse5,UCI,3,linear,1,KuHar,0.421875,0.3211857528065155
resnetse5,UCI,3,linear,1,MotionSense,0.3291015625,0.2539948192122105
resnetse5,UCI,3,linear,1,RealWorld_thigh,0.24722222222222223,0.19898618787716107
resnetse5,UCI,3,linear,1,RealWorld_waist,0.34375,0.29301020684852525
resnetse5,UCI,3,linear,1,UCI,0.19375,0.1651034550831303
resnetse5,UCI,3,linear,1,WISDM,0.45859375,0.29087039592436054
resnetse5,UCI,3,linear,10,KuHar,0.3515625,0.18888888888888888
resnetse5,UCI,3,linear,10,MotionSense,0.365234375,0.301529798564421
resnetse5,UCI,3,linear,10,RealWorld_thigh,0.37083333333333335,0.28309199098304433
resnetse5,UCI,3,linear,10,RealWorld_waist,0.39296875,0.3153672620621121
resnetse5,UCI,3,linear,10,UCI,0.6421875,0.6022974515059485
resnetse5,UCI,3,linear,10,WISDM,0.4890625,0.30939844036244585
resnetse5,UCI,3,linear,100,KuHar,0.296875,0.22675051575307334
resnetse5,UCI,3,linear,100,MotionSense,0.435546875,0.38784801499296995
resnetse5,UCI,3,linear,100,RealWorld_thigh,0.33819444444444446,0.30467499253540975
resnetse5,UCI,3,linear,100,RealWorld_waist,0.46015625,0.3834349127160694
resnetse5,UCI,3,linear,100,UCI,0.746875,0.7281328495057984
resnetse5,UCI,3,linear,100,WISDM,0.4234375,0.26954095045001597
resnetse5,UCI,3,linear,full,KuHar,0.265625,0.21669763335441702
resnetse5,UCI,3,linear,full,MotionSense,0.357421875,0.2963174561624066
resnetse5,UCI,3,linear,full,RealWorld_thigh,0.3545138888888889,0.28124958680728246
resnetse5,UCI,3,linear,full,RealWorld_waist,0.446875,0.3574693063888961
resnetse5,UCI,3,linear,full,UCI,0.7515625,0.7328904158471092
resnetse5,UCI,3,linear,full,WISDM,0.482421875,0.29439632641533825
