encoder,source,seed,protocol,n_shots,target,test_acc,test_f1_macro
resnetse5,WISDM,0,finetune,1,KuHar,0.421875,0.31906250709920714
resnetse5,WISDM,0,finetune,1,MotionSense,0.2158203125,0.1608797634340801
resnetse5,WISDM,0,finetune,1,RealWorld_thigh,0.26944444444444443,0.17892321150566418
resnetse5,WISDM,0,finetune,1,RealWorld_waist,0.255078125,0.1674490772055045
resnetse5,WISDM,0,finetune,1,UCI,0.3375,0.2508454106280193
resnetse5,WISDM,0,finetune,1,WISDM,0.394921875,0.33392921919959534
resnetse5,WISDM,0,finetune,10,KuHar,0.5234375,0.38382462284901314
resnetse5,WISDM,0,finetune,10,MotionSense,0.466796875,0.3837917627652918
resnetse5,WISDM,0,finetune,10,RealWorld_thigh,0.4201388888888889,0.3493543390276932
resnetse5,WISDM,0,finetune,10,RealWorld_waist,0.411328125,0.34297038728771057
resnetse5,WISDM,0,finetune,10,UCI,0.3828125,0.2893764072442487
resnetse5,WISDM,0,finetune,10,WISDM,0.748828125,0.7429563650656839
resnetse5,WISDM,0,finetune,100,KuHar,0.5546875,0.38250970423786085
resnetse5,WISDM,0,finetune,100,MotionSense,0.5849609375,0.4991346064232154
resnetse5,WISDM,0,finetune,100,RealWorld_thigh,0.5482638888888889,0.4661983180342038
resnetse5,WISDM,0,finetune,100,RealWorld_waist,0.4625,0.38583680918096436
resnetse5,WISDM,0,finetune,100,UCI,0.4296875,0.3353571940164119
resnetse5,WISDM,0,finetune,100,WISDM,0.83828125,0.8337195994536937
resnetse5,WISDM,0,finetune,full,KuHar,0.5625,0.41342835426319996
resnetse5,WISDM,0,finetune,full,MotionSense,0.6318359375,0.5332587776961383
resnetse5,WISDM,0,finetune,full,RealWorld_thigh,0.5409722222222222,0.45061709785141507
resnetse5,WISDM,0,finetune,full,RealWorld_waist,0.45078125,0.34260346812148185
resnetse5,WISDM,0,finetune,full,UCI,0.3921875,0.24784962588222248
resnetse5,WISDM,0,finetune,full,WISDM,0.86640625,0.8643773309031119
resnetse5,WISDM,0,linear,1,KuHar,0.125,0.09297565179918121
resnetse5,WISDM,0,linear,1,MotionSense,0.04296875,0.037714946884501936
resnetse5,WISDM,0,linear,1,RealWorld_thigh,0.16145833333333334,0.1038349943888471
resnetse5,WISDM,0,linear,1,RealWorld_waist,0.125390625,0.0893159360982349
resnetse5,WISDM,0,linear,1,UCI,0.0328125,0.029549314859345772
resnetse5,WISDM,0,linear,1,WISDM,0.117578125,0.08964907921393998
resnetse5,WISDM,0,linear,10,KuHar,0.390625,0.26374753827584013
resnetse5,WISDM,0,linear,10,MotionSense,0.396484375,0.340598271149585
resnetse5,WISDM,0,linear,10,RealWorld_thigh,0.4597222222222222,0.3830714601040482
resnetse5,WISDM,0,linear,10,RealWorld_waist,0.39921875,0.319444926829489
resnetse5,WISDM,0,linear,10,UCI,0.278125,0.22399028748450203
resnetse5,WISDM,0,linear,10,WISDM,0.68359375,0.6701435891198241
resnetse5,WISDM,0,linear,100,KuHar,0.5859375,0.4216275402311637
resnetse5,WISDM,0,linear,100,MotionSense,0.521484375,0.43727386935509616
resnetse5,WISDM,0,linear,100,RealWorld_thigh,0.5065972222222223,0.4240270021537798
resnetse5,WISDM,0,linear,100,RealWorld_waist,0.46171875,0.37341634475020663
resnetse5,WISDM,0,linear,100,UCI,0.3828125,0.2847920459319423
resnetse5,WISDM,0,linear,100,WISDM,0.7953125,0.786209306963175
resnetse5,WISDM,0,linear,full,KuHar,0.5546875,0.36302480720771285
resnetse5,WISDM,0,linear,full,MotionSense,0.5322265625,0.44879761090307296
resnetse5,WISDM,0,linear,full,RealWorld_thigh,0.5197916666666667,0.4337894116384838
resnetse5,WISDM,0,linear,full,RealWorld_waist,0.463671875,0.38270130777898564
resnetse5,WISDM,0,linear,full,UCI,0.3859375,0.2983881419004851
resnetse5,WISDM,0,linear,full,WISDM,0.793359375,0.7863195539497303
