encoder,source,seed,protocol,n_shots,target,test_acc,test_f1_macro
resnetse5,combined,1,finetune,1,KuHar,0.28125,0.2377843787418256
resnetse5,combined,1,finetune,1,MotionSense,0.1298828125,0.11338038494764925
resnetse5,combined,1,finetune,1,RealWorld_thigh,0.12986111111111112,0.12252174666156229
resnetse5,combined,1,finetune,1,RealWorld_waist,0.23203125,0.1898824138101728
resnetse5,combined,1,finetune,1,UCI,0.2734375,0.18313064435695545
resnetse5,combined,1,finetune,1,WISDM,0.200390625,0.18311334098254922
resnetse5,combined,1,finetune,10,KuHar,0.4609375,0.3247354497354497
resnetse5,combined,1,finetune,10,MotionSense,0.60546875,0.525432661746581
resnetse5,combined,1,finetune,10,RealWorld_thigh,0.5291666666666667,0.45809686803381605
resnetse5,combined,1,finetune,10,RealWorld_waist,0.59921875,0.5524475365224369
resnetse5,combined,1,finetune,10,UCI,0.578125,0.4772747159758633
resnetse5,combined,1,finetune,10,WISDM,0.619140625,0.39544854000286506
resnetse5,combined,1,finetune,100,KuHar,0.65625,0.6045175462658182
resnetse5,combined,1,finetune,100,MotionSense,0.6748046875,0.6131338472729374
resnetse5,combined,1,finetune,100,RealWorld_thigh,0.6902777777777778,0.6449136685201751
resnetse5,combined,1,finetune,100,RealWorld_waist,0.7078125,0.6565410042521692
resnetse5,combined,1,finetune,100,UCI,0.721875,0.6548298833340491
resnetse5,combined,1,finetune,100,WISDM,0.677734375,0.41697314437350425
resnetse5,combined,1,finetune,full,KuHar,0.8046875,0.7856228916173403
resnetse5,combined,1,finetune,full,MotionSense,0.8935546875,0.8940576886536333
resnetse5,combined,1,finetune,full,RealWorld_thigh,0.8059027777777777,0.8105309526320891
resnetse5,combined,1,finetune,full,RealWorld_waist,0.7625,0.7625815319248197
resnetse5,combined,1,finetune,full,UCI,0.9140625,0.8869295100093779
resnetse5,combined,1,finetune,full,WISDM,0.833203125,0.562054906727105
resnetse5,combined,1,linear,1,KuHar,0.265625,0.20468158525938848
resnetse5,combined,1,linear,1,MotionSense,0.123046875,0.10075967310232332
resnetse5,combined,1,linear,1,RealWorld_thigh,0.09513888888888888,0.0837318516278709
resnetse5,combined,1,linear,1,RealWorld_waist,0.1875,0.14981044971019417
resnetse5,combined,1,linear,1,UCI,0.209375,0.14306087612491647
resnetse5,combined,1,linear,1,WISDM,0.18125,0.15438454416654374
resnetse5,combined,1,linear,10,KuHar,0.40625,0.33591826731611674
resnetse5,combined,1,linear,10,MotionSense,0.41796875,0.40876079642202146
resnetse5,combined,1,linear,10,RealWorld_thigh,0.4239583333333333,0.38400142151119326
resnetse5,combined,1,linear,10,RealWorld_waist,0.40078125,0.38447571553615095
resnetse5,combined,1,linear,10,UCI,0.409375,0.3211302365532503
resnetse5,combined,1,linear,10,WISDM,0.540234375,0.3881904176403607
resnetse5,combined,1,linear,100,KuHar,0.609375,0.5087715995738912
resnetse5,combined,1,linear,100,MotionSense,0.673828125,0.6676487588771255
resnetse5,combined,1,linear,100,RealWorld_thigh,0.6413194444444444,0.6397277758049666
resnetse5,combined,1,linear,100,RealWorld_waist,0.660546875,0.6607308384030811
resnetse5,combined,1,linear,100,UCI,0.5328125,0.5303018485518676
resnetse5,combined,1,linear,100,WISDM,0.641796875,0.4630823786790412
resnetse5,combined,1,linear,full,KuHar,0.578125,0.48347923681257016
resnetse5,combined,1,linear,full,MotionSense,0.6494140625,0.6357190795198272
resnetse5,combined,1,linear,full,RealWorld_thigh,0.6489583333333333,0.6445734505614127
resnetse5,combined,1,linear,full,RealWorld_waist,0.634765625,0.638261671325561
resnetse5,combined,1,linear,full,UCI,0.6609375,0.6481236410842015
resnetse5,combined,1,linear,full,WISDM,0.68671875,0.4822572722643051
