encoder,source,seed,protocol,n_shots,target,test_acc,test_f1_macro
rnn,MotionSense,0,finetune,1,KuHar,0.296875,0.170182841068917
rnn,MotionSense,0,finetune,1,MotionSense,0.58203125,0.5232913103743465
rnn,MotionSense,0,finetune,1,RealWorld_thigh,0.471875,0.4227892007448865
rnn,MotionSense,0,finetune,1,RealWorld_waist,0.265625,0.21272660156381087
rnn,MotionSense,0,finetune,1,UCI,0.3625,0.2720493173967871
rnn,MotionSense,0,finetune,1,WISDM,0.51796875,0.3656901904593283
rnn,MotionSense,0,finetune,10,KuHar,0.3203125,0.1852925389157273
rnn,MotionSense,0,finetune,10,MotionSense,0.7197265625,0.7074761754540914
rnn,MotionSense,0,finetune,10,RealWorld_thigh,0.5791666666666667,0.5610654457956037
rnn,MotionSense,0,finetune,10,RealWorld_waist,0.340625,0.26387635779710744
rnn,MotionSense,0,finetune,10,UCI,0.3953125,0.34152028357697234
rnn,MotionSense,0,finetune,10,WISDM,0.669921875,0.46518047687304726
rnn,MotionSense,0,finetune,100,KuHar,0.3515625,0.21785794409296902
rnn,MotionSense,0,finetune,100,MotionSense,0.8984375,0.8967861217166485
rnn,MotionSense,0,finetune,100,RealWorld_thigh,0.6934027777777778,0.6918028374351933
rnn,MotionSense,0,finetune,100,RealWorld_waist,0.3703125,0.3185744012213539
rnn,MotionSense,0,finetune,100,UCI,0.4859375,0.45891181200996434
rnn,MotionSense,0,finetune,100,WISDM,0.707421875,0.4917685413233653
rnn,MotionSense,0,finetune,full,KuHar,0.4296875,0.38819430454557596
rnn,MotionSense,0,finetune,full,MotionSense,0.923828125,0.9234141766883736
rnn,MotionSense,0,finetune,full,RealWorld_thigh,0.7322916666666667,0.7285525690179536
rnn,MotionSense,0,finetune,full,RealWorld_waist,0.3796875,0.3290382177667857
rnn,MotionSense,0,finetune,full,UCI,0.49375,0.4442734056550209
rnn,MotionSense,0,finetune,full,WISDM,0.715234375,0.5067084562392101
rnn,MotionSense,0,linear,1,KuHar,0.375,0.18725894400851176
rnn,MotionSense,0,linear,1,MotionSense,0.4814453125,0.4199539895372684
rnn,MotionSense,0,linear,1,RealWorld_thigh,0.4201388888888889,0.36670430958706124
rnn,MotionSense,0,linear,1,RealWorld_waist,0.31015625,0.21454280311495502
rnn,MotionSense,0,linear,1,UCI,0.3375,0.26158339529039737
rnn,MotionSense,0,linear,1,WISDM,0.516796875,0.35485227994228014
rnn,MotionSense,0,linear,10,KuHar,0.375,0.2085757379875027
rnn,MotionSense,0,linear,10,MotionSense,0.7138671875,0.7088497902564591
rnn,MotionSense,0,linear,10,RealWorld_thigh,0.6152777777777778,0.6143118237866516
rnn,MotionSense,0,linear,10,RealWorld_waist,0.309765625,0.2022581768263818
rnn,MotionSense,0,linear,10,UCI,0.35625,0.2947244054709607
rnn,MotionSense,0,linear,10,WISDM,0.631640625,0.4404974730333186
rnn,MotionSense,0,linear,100,KuHar,0.25,0.16856200809838384
rnn,MotionSense,0,linear,100,MotionSense,0.75390625,0.7503706442166193
rnn,MotionSense,0,linear,100,RealWorld_thigh,0.6385416666666667,0.6388352602918345
rnn,MotionSense,0,linear,100,RealWorld_waist,0.284765625,0.18575724914901115
rnn,MotionSense,0,linear,100,UCI,0.375,0.2850163323263482
rnn,MotionSense,0,linear,100,WISDM,0.6296875,0.44922416104823726
rnn,MotionSense,0,linear,full,KuHar,0.3515625,0.19747891884404276
rnn,MotionSense,0,linear,full,MotionSense,0.7548828125,0.7505783288038925
rnn,MotionSense,0,linear,full,RealWorld_thigh,0.625,0.6268472737829421
rnn,MotionSense,0,linear,full,RealWorld_waist,0.383984375,0.3247743242267464
rnn,MotionSense,0,linear,full,UCI,0.4375,0.4370575849873948
rnn,MotionSense,0,linear,full,WISDM,0.63515625,0.46420354877317127
