encoder,source,seed,protocol,n_shots,target,test_acc,test_f1_macro
rnn,UCI,3,finetune,1,KuHar,0.390625,0.2635834090838296
rnn,UCI,3,finetune,1,MotionSense,0.2509765625,0.14639366678786017
rnn,UCI,3,finetune,1,RealWorld_thigh,0.23368055555555556,0.14838477184063717
rnn,UCI,3,finetune,1,RealWorld_waist,0.2875,0.21561462971189913
rnn,UCI,3,finetune,1,UCI,0.284375,0.1930502811377852
rnn,UCI,3,finetune,1,WISDM,0.19453125,0.12510079776038788
rnn,UCI,3,finetune,10,KuHar,0.3515625,0.24702553966593033
rnn,UCI,3,finetune,10,MotionSense,0.419921875,0.3627119984794894
rnn,UCI,3,finetune,10,RealWorld_thigh,0.36180555555555555,0.3070521875871064
rnn,UCI,3,finetune,10,RealWorld_waist,0.441796875,0.3957766490808376
rnn,UCI,3,finetune,10,UCI,0.6390625,0.615522548277841
rnn,UCI,3,finetune,10,WISDM,0.31875,0.22718209615243043
rnn,UCI,3,finetune,100,KuHar,0.4453125,0.39587330658759234
rnn,UCI,3,finetune,100,MotionSense,0.2607421875,0.2134300100179938
rnn,UCI,3,finetune,100,RealWorld_thigh,0.28854166666666664,0.24083514432232744
rnn,UCI,3,finetune,100,RealWorld_waist,0.58359375,0.5320641001133951
rnn,UCI,3,finetune,100,UCI,0.909375,0.8912753984889854
rnn,UCI,3,finetune,100,WISDM,0.353125,0.23114613542410511
rnn,UCI,3,finetune,full,KuHar,0.4140625,0.33376665005303874
rnn,UCI,3,finetune,full,MotionSense,0.330078125,0.27991052453215076
rnn,UCI,3,finetune,full,RealWorld_thigh,0.3375,0.2853489224983216
rnn,UCI,3,finetune,full,RealWorld_waist,0.60859375,0.5563068947348766
rnn,UCI,3,finetune,full,UCI,0.925,0.9135878316029261
rnn,UCI,3,finetune,full,WISDM,0.43515625,0.27661068301395275
rnn,UCI,3,linear,1,KuHar,0.34375,0.2547130933750652
rnn,UCI,3,linear,1,MotionSense,0.2626953125,0.20117336410656692
rnn,UCI,3,linear,1,RealWorld_thigh,0.2951388888888889,0.21633478315103907
rnn,UCI,3,linear,1,RealWorld_waist,0.3609375,0.2893435193507357
rnn,UCI,3,linear,1,UCI,0.4421875,0.33907116937435827
rnn,UCI,3,linear,1,WISDM,0.182421875,0.12354663853897459
rnn,UCI,3,linear,10,KuHar,0.375,0.28215518091294484
rnn,UCI,3,linear,10,MotionSense,0.3759765625,0.24729742171202693
rnn,UCI,3,linear,10,RealWorld_thigh,0.32222222222222224,0.21564019285869904
rnn,UCI,3,linear,10,RealWorld_waist,0.3265625,0.22500324762934298
rnn,UCI,3,linear,10,UCI,0.353125,0.27216457647642245
rnn,UCI,3,linear,10,WISDM,0.23828125,0.11241324164401088
rnn,UCI,3,linear,100,KuHar,0.34375,0.24182119704507762
rnn,UCI,3,linear,100,MotionSense,0.462890625,0.3996019444296615
rnn,UCI,3,linear,100,RealWorld_thigh,0.37430555555555556,0.31246750092427034
rnn,UCI,3,linear,100,RealWorld_waist,0.4296875,0.3806014735212026
rnn,UCI,3,linear,100,UCI,0.6078125,0.5965993057841162
rnn,UCI,3,linear,100,WISDM,0.34140625,0.239256501248447
rnn,UCI,3,linear,full,KuHar,0.3125,0.225886227783761
rnn,UCI,3,linear,full,MotionSense,0.3564453125,0.28903242844451943
rnn,UCI,3,linear,full,RealWorld_thigh,0.3506944444444444,0.2907659136179348
rnn,UCI,3,linear,full,RealWorld_waist,0.4203125,0.34264637414895804
rnn,UCI,3,linear,full,UCI,0.6171875,0.5678811680474306
rnn,UCI,3,linear,full,WISDM,0.31640625,0.20877496797629466
