encoder,source,seed,protocol,n_shots,target,test_acc,test_f1_macro
tstcc,RealWorld_thigh,0,finetune,1,KuHar,0.5546875,0.3700699300699301
tstcc,RealWorld_thigh,0,finetune,1,MotionSense,0.63671875,0.5775460434466383
tstcc,RealWorld_thigh,0,finetune,1,RealWorld_thigh,0.5236111111111111,0.4904441630343069
tstcc,RealWorld_thigh,0,finetune,1,RealWorld_waist,0.424609375,0.3516209386415252
tstcc,RealWorld_thigh,0,finetune,1,UCI,0.425,0.2885624390109329
tstcc,RealWorld_thigh,0,finetune,1,WISDM,0.575,0.39453574102352945
tstcc,RealWorld_thigh,0,finetune,10,KuHar,0.359375,0.2886256354393609
tstcc,RealWorld_thigh,0,finetune,10,MotionSense,0.748046875,0.7480927027364158
tstcc,RealWorld_thigh,0,finetune,10,RealWorld_thigh,0.6440972222222222,0.6460777624740144
tstcc,RealWorld_thigh,0,finetune,10,RealWorld_waist,0.44296875,0.35133171753135306
tstcc,RealWorld_thigh,0,finetune,10,UCI,0.503125,0.4472093647753829
tstcc,RealWorld_thigh,0,finetune,10,WISDM,0.61328125,0.4510406490848428
tstcc,RealWorld_thigh,0,finetune,100,KuHar,0.4375,0.3194444444444444
tstcc,RealWorld_thigh,0,finetune,100,MotionSense,0.703125,0.6497120543357428
tstcc,RealWorld_thigh,0,finetune,100,RealWorld_thigh,0.6638888888888889,0.6189822847076306
tstcc,RealWorld_thigh,0,finetune,100,RealWorld_waist,0.3359375,0.18063563808715186
tstcc,RealWorld_thigh,0,finetune,100,UCI,0.4015625,0.3024238444354871
tstcc,RealWorld_thigh,0,finetune,100,WISDM,0.540234375,0.34047176832064996
tstcc,RealWorld_thigh,0,finetune,full,KuHar,0.453125,0.36349206349206353
tstcc,RealWorld_thigh,0,finetune,full,MotionSense,0.8056640625,0.789043948208228
tstcc,RealWorld_thigh,0,finetune,full,RealWorld_thigh,0.6947916666666667,0.6901470104187656
tstcc,RealWorld_thigh,0,finetune,full,RealWorld_waist,0.439453125,0.3695273278159387
tstcc,RealWorld_thigh,0,finetune,full,UCI,0.5140625,0.48749767532389726
tstcc,RealWorld_thigh,0,finetune,full,WISDM,0.58984375,0.42596392645478653
tstcc,RealWorld_thigh,0,linear,1,KuHar,0.5234375,0.34957983193277314
tstcc,RealWorld_thigh,0,linear,1,MotionSense,0.3662109375,0.3227538858237819
tstcc,RealWorld_thigh,0,linear,1,RealWorld_thigh,0.36319444444444443,0.3060219501344613
tstcc,RealWorld_thigh,0,linear,1,RealWorld_waist,0.401953125,0.32421008327009554
tstcc,RealWorld_thigh,0,linear,1,UCI,0.4171875,0.28330985741468356
tstcc,RealWorld_thigh,0,linear,1,WISDM,0.48046875,0.34732910941137046
tstcc,RealWorld_thigh,0,linear,10,KuHar,0.3984375,0.2945300399445667
tstcc,RealWorld_thigh,0,linear,10,MotionSense,0.6357421875,0.5802621869841473
tstcc,RealWorld_thigh,0,linear,10,RealWorld_thigh,0.5322916666666667,0.4866303045416637
tstcc,RealWorld_thigh,0,linear,10,RealWorld_waist,0.36640625,0.24870704113976996
tstcc,RealWorld_thigh,0,linear,10,UCI,0.3421875,0.19053752850922664
tstcc,RealWorld_thigh,0,linear,10,WISDM,0.546484375,0.3482133856978093
tstcc,RealWorld_thigh,0,linear,100,KuHar,0.421875,0.3072916666666667
tstcc,RealWorld_thigh,0,linear,100,MotionSense,0.65625,0.5969793608473319
tstcc,RealWorld_thigh,0,linear,100,RealWorld_thigh,0.6354166666666666,0.5902581104266159
tstcc,RealWorld_thigh,0,linear,100,RealWorld_waist,0.335546875,0.18658948332796202
tstcc,RealWorld_thigh,0,linear,100,UCI,0.3484375,0.24332738218555847
tstcc,RealWorld_thigh,0,linear,100,WISDM,0.53046875,0.3399302228680639
tstcc,RealWorld_thigh,0,linear,full,KuHar,0.4375,0.31412186379928314
tstcc,RealWorld_thigh,0,linear,full,MotionSense,0.5927734375,0.5181345170338162
tstcc,RealWorld_thigh,0,linear,full,RealWorld_thigh,0.6010416666666667,0.5387503900843451
tstcc,RealWorld_thigh,0,linear,full,RealWorld_waist,0.41875,0.29837041496284705
tstcc,RealWorld_thigh,0,linear,full,UCI,0.353125,0.17956058112073284
tstcc,RealWorld_thigh,0,linear,full,WISDM,0.48046875,0.30300311834904187
