encoder,source,seed,protocol,n_shots,target,test_acc,test_f1_macro
tstcc,RealWorld_waist,3,finetune,1,KuHar,0.25,0.1461225154773542
tstcc,RealWorld_waist,3,finetune,1,MotionSense,0.32421875,0.18399890061730173
tstcc,RealWorld_waist,3,finetune,1,RealWorld_thigh,0.2972222222222222,0.1732088927180079
tstcc,RealWorld_waist,3,finetune,1,RealWorld_waist,0.345703125,0.304234096051651
tstcc,RealWorld_waist,3,finetune,1,UCI,0.2265625,0.17527387842567962
tstcc,RealWorld_waist,3,finetune,1,WISDM,0.22578125,0.1182715761997694
tstcc,RealWorld_waist,3,finetune,10,KuHar,0.4375,0.3320813070534692
tstcc,RealWorld_waist,3,finetune,10,MotionSense,0.4990234375,0.41957864704233955
tstcc,RealWorld_waist,3,finetune,10,RealWorld_thigh,0.43125,0.3568488404382321
tstcc,RealWorld_waist,3,finetune,10,RealWorld_waist,0.653125,0.6543369436063246
tstcc,RealWorld_waist,3,finetune,10,UCI,0.496875,0.4298735773022681
tstcc,RealWorld_waist,3,finetune,10,WISDM,0.37265625,0.27498260099356125
tstcc,RealWorld_waist,3,finetune,100,KuHar,0.59375,0.5000474039853912
tstcc,RealWorld_waist,3,finetune,100,MotionSense,0.5634765625,0.5107168679229315
tstcc,RealWorld_waist,3,finetune,100,RealWorld_thigh,0.50625,0.46745876608758374
tstcc,RealWorld_waist,3,finetune,100,RealWorld_waist,0.724609375,0.7246144335550948
tstcc,RealWorld_waist,3,finetune,100,UCI,0.5046875,0.4400846453443627
tstcc,RealWorld_waist,3,finetune,100,WISDM,0.41328125,0.3077500647226136
tstcc,RealWorld_waist,3,finetune,full,KuHar,0.6328125,0.573155929129295
tstcc,RealWorld_waist,3,finetune,full,MotionSense,0.3984375,0.3525359806731854
tstcc,RealWorld_waist,3,finetune,full,RealWorld_thigh,0.34131944444444445,0.3044779620306076
tstcc,RealWorld_waist,3,finetune,full,RealWorld_waist,0.7390625,0.6972783687322687
tstcc,RealWorld_waist,3,finetune,full,UCI,0.603125,0.44251060830560035
tstcc,RealWorld_waist,3,finetune,full,WISDM,0.29453125,0.21253850005258446
tstcc,RealWorld_waist,3,linear,1,KuHar,0.03125,0.013201320132013201
tstcc,RealWorld_waist,3,linear,1,MotionSense,0.0458984375,0.02425980498417181
tstcc,RealWorld_waist,3,linear,1,RealWorld_thigh,0.06770833333333333,0.03279159473636022
tstcc,RealWorld_waist,3,linear,1,RealWorld_waist,0.103515625,0.08725770726064104
tstcc,RealWorld_waist,3,linear,1,UCI,0.059375,0.05244246889190709
tstcc,RealWorld_waist,3,linear,1,WISDM,0.003125,0.002419124249431901
tstcc,RealWorld_waist,3,linear,10,KuHar,0.28125,0.257088122605364
tstcc,RealWorld_waist,3,linear,10,MotionSense,0.37109375,0.2963494543727452
tstcc,RealWorld_waist,3,linear,10,RealWorld_thigh,0.28402777777777777,0.20596602532012223
tstcc,RealWorld_waist,3,linear,10,RealWorld_waist,0.53046875,0.5065013529171837
tstcc,RealWorld_waist,3,linear,10,UCI,0.3484375,0.287926616376692
tstcc,RealWorld_waist,3,linear,10,WISDM,0.21015625,0.17964842049773092
tstcc,RealWorld_waist,3,linear,100,KuHar,0.5390625,0.4428486997635934
tstcc,RealWorld_waist,3,linear,100,MotionSense,0.4619140625,0.37599680940735025
tstcc,RealWorld_waist,3,linear,100,RealWorld_thigh,0.35347222222222224,0.24811876926658047
tstcc,RealWorld_waist,3,linear,100,RealWorld_waist,0.6671875,0.6272657475205903
tstcc,RealWorld_waist,3,linear,100,UCI,0.46875,0.38157839421251843
tstcc,RealWorld_waist,3,linear,100,WISDM,0.308984375,0.2140903775251057
tstcc,RealWorld_waist,3,linear,full,KuHar,0.5390625,0.4998043429738477
tstcc,RealWorld_waist,3,linear,full,MotionSense,0.6015625,0.5345038065232253
tstcc,RealWorld_waist,3,linear,full,RealWorld_thigh,0.43020833333333336,0.3695935617934982
tstcc,RealWorld_waist,3,linear,full,RealWorld_waist,0.6296875,0.6103504173492782
tstcc,RealWorld_waist,3,linear,full,UCI,0.540625,0.4730248044403006
tstcc,RealWorld_waist,3,linear,full,WISDM,0.490234375,0.34396812603533894
