encoder,source,seed,protocol,n_shots,target,test_acc,test_f1_macro
tstcc,WISDM,2,finetune,1,KuHar,0.515625,0.33910686932956285
tstcc,WISDM,2,finetune,1,MotionSense,0.3837890625,0.3158578917392077
tstcc,WISDM,2,finetune,1,RealWorld_thigh,0.37083333333333335,0.30373938577614407
tstcc,WISDM,2,finetune,1,RealWorld_waist,0.3515625,0.2772091601638362
tstcc,WISDM,2,finetune,1,UCI,0.36875,0.2704126984126984
tstcc,WISDM,2,finetune,1,WISDM,0.66171875,0.650881704389919
tstcc,WISDM,2,finetune,10,KuHar,0.53125,0.398544734349436
tstcc,WISDM,2,finetune,10,MotionSense,0.505859375,0.40599658557527946
tstcc,WISDM,2,finetune,10,RealWorld_thigh,0.44340277777777776,0.32184368852634365
tstcc,WISDM,2,finetune,10,RealWorld_waist,0.384375,0.25665348503147517
tstcc,WISDM,2,finetune,10,UCI,0.353125,0.21210191082802546
tstcc,WISDM,2,finetune,10,WISDM,0.773828125,0.7275827900014554
tstcc,WISDM,2,finetune,100,KuHar,0.46875,0.3643251672666321
tstcc,WISDM,2,finetune,100,MotionSense,0.5283203125,0.44030203793684497
tstcc,WISDM,2,finetune,100,RealWorld_thigh,0.4461805555555556,0.32140433559153614
tstcc,WISDM,2,finetune,100,RealWorld_waist,0.332421875,0.17229690915246162
tstcc,WISDM,2,finetune,100,UCI,0.3546875,0.2153377617394902
tstcc,WISDM,2,finetune,100,WISDM,0.759375,0.7282830745946363
tstcc,WISDM,2,finetune,full,KuHar,0.546875,0.40044812196710927
tstcc,WISDM,2,finetune,full,MotionSense,0.6201171875,0.5317494417803832
tstcc,WISDM,2,finetune,full,RealWorld_thigh,0.5222222222222223,0.43534397505324224
tstcc,WISDM,2,finetune,full,RealWorld_waist,0.45859375,0.3615408418393138
tstcc,WISDM,2,finetune,full,UCI,0.384375,0.2405593109645839
tstcc,WISDM,2,finetune,full,WISDM,0.877734375,0.8754529035275196
tstcc,WISDM,2,linear,1,KuHar,0.34375,0.19036746743549682
tstcc,WISDM,2,linear,1,MotionSense,0.31640625,0.2839430414480188
tstcc,WISDM,2,linear,1,RealWorld_thigh,0.30277777777777776,0.25417735907433714
tstcc,WISDM,2,linear,1,RealWorld_waist,0.24375,0.16776394019338473
tstcc,WISDM,2,linear,1,UCI,0.159375,0.10031756048595426
tstcc,WISDM,2,linear,1,WISDM,0.357421875,0.3449642988656401
tstcc,WISDM,2,linear,10,KuHar,0.453125,0.3467506693489413
tstcc,WISDM,2,linear,10,MotionSense,0.3818359375,0.3000436779686899
tstcc,WISDM,2,linear,10,RealWorld_thigh,0.46875,0.38889854620303194
tstcc,WISDM,2,linear,10,RealWorld_waist,0.324609375,0.2090770178224974
tstcc,WISDM,2,linear,10,UCI,0.3765625,0.2786563153180054
tstcc,WISDM,2,linear,10,WISDM,0.66328125,0.6416102458808557
tstcc,WISDM,2,linear,100,KuHar,0.4765625,0.3140350877192983
tstcc,WISDM,2,linear,100,MotionSense,0.4716796875,0.3442977043321122
tstcc,WISDM,2,linear,100,RealWorld_thigh,0.44305555555555554,0.3187679006596153
tstcc,WISDM,2,linear,100,RealWorld_waist,0.33203125,0.17197732820158093
tstcc,WISDM,2,linear,100,UCI,0.353125,0.21210191082802546
tstcc,WISDM,2,linear,100,WISDM,0.676953125,0.5939401879764277
tstcc,WISDM,2,linear,full,KuHar,0.5078125,0.3438616193283734
tstcc,WISDM,2,linear,full,MotionSense,0.5693359375,0.4916843624644623
tstcc,WISDM,2,linear,full,RealWorld_thigh,0.5190972222222222,0.443102354703426
tstcc,WISDM,2,linear,full,RealWorld_waist,0.33984375,0.23451710872238576
tstcc,WISDM,2,linear,full,UCI,0.4109375,0.31305518253266723
tstcc,WISDM,2,linear,full,WISDM,0.762109375,0.7588465740300088
