encoder,source,seed,protocol,n_shots,target,test_acc,test_f1_macro
tstcc,combined,3,finetune,1,KuHar,0.578125,0.45513490341076546
tstcc,combined,3,finetune,1,MotionSense,0.3984375,0.34429845490378036
tstcc,combined,3,finetune,1,RealWorld_thigh,0.33090277777777777,0.2869134443625682
tstcc,combined,3,finetune,1,RealWorld_waist,0.539453125,0.5014860840267773
tstcc,combined,3,finetune,1,UCI,0.4734375,0.4291739492580039
tstcc,combined,3,finetune,1,WISDM,0.505859375,0.3300835778010494
tstcc,combined,3,finetune,10,KuHar,0.625,0.5825715678656855
tstcc,combined,3,finetune,10,MotionSense,0.724609375,0.7189632274377931
tstcc,combined,3,finetune,10,RealWorld_thigh,0.6597222222222222,0.657348311508892
tstcc,combined,3,finetune,10,RealWorld_waist,0.560546875,0.501837222630926
tstcc,combined,3,finetune,10,UCI,0.559375,0.409980595961365
tstcc,combined,3,finetune,10,WISDM,0.59765625,0.4317117324055541
tstcc,combined,3,finetune,100,KuHar,0.609375,0.5088631045112971
tstcc,combined,3,finetune,100,MotionSense,0.833984375,0.831720943778767
tstcc,combined,3,finetune,100,RealWorld_thigh,0.7631944444444444,0.7666298643251084
tstcc,combined,3,finetune,100,RealWorld_waist,0.679296875,0.680728448301526
tstcc,combined,3,finetune,100,UCI,0.7328125,0.7085493726044572
tstcc,combined,3,finetune,100,WISDM,0.776171875,0.5270621289561481
tstcc,combined,3,finetune,full,KuHar,0.6953125,0.6798495664996022
tstcc,combined,3,finetune,full,MotionSense,0.84765625,0.8505222541904688
tstcc,combined,3,finetune,full,RealWorld_thigh,0.6840277777777778,0.6674455210219118
tstcc,combined,3,finetune,full,RealWorld_waist,0.6359375,0.595678486140007
tstcc,combined,3,finetune,full,UCI,0.8359375,0.8116636908911522
tstcc,combined,3,finetune,full,WISDM,0.716796875,0.4884798378856794
tstcc,combined,3,linear,1,KuHar,0.03125,0.017844886753603295
tstcc,combined,3,linear,1,MotionSense,0.08203125,0.07588075880758807
tstcc,combined,3,linear,1,RealWorld_thigh,0.10694444444444444,0.06481993620059444
tstcc,combined,3,linear,1,RealWorld_waist,0.091015625,0.048438698490167326
tstcc,combined,3,linear,1,UCI,0.20625,0.09496402877697842
tstcc,combined,3,linear,1,WISDM,0.0,0.0
tstcc,combined,3,linear,10,KuHar,0.3359375,0.26063936063936066
tstcc,combined,3,linear,10,MotionSense,0.4833984375,0.46174713996524225
tstcc,combined,3,linear,10,RealWorld_thigh,0.54375,0.5263656439586614
tstcc,combined,3,linear,10,RealWorld_waist,0.473046875,0.43792214632726006
tstcc,combined,3,linear,10,UCI,0.3921875,0.3039051975136829
tstcc,combined,3,linear,10,WISDM,0.375,0.31381157048094804
tstcc,combined,3,linear,100,KuHar,0.59375,0.4909375453709803
tstcc,combined,3,linear,100,MotionSense,0.76953125,0.7564773490530631
tstcc,combined,3,linear,100,RealWorld_thigh,0.6204861111111111,0.5842926734693182
tstcc,combined,3,linear,100,RealWorld_waist,0.565625,0.526534835304036
tstcc,combined,3,linear,100,UCI,0.534375,0.5061822117908805
tstcc,combined,3,linear,100,WISDM,0.687109375,0.4877972360775202
tstcc,combined,3,linear,full,KuHar,0.6171875,0.5428968690805589
tstcc,combined,3,linear,full,MotionSense,0.7822265625,0.7665421419765743
tstcc,combined,3,linear,full,RealWorld_thigh,0.7125,0.7112774773113831
tstcc,combined,3,linear,full,RealWorld_waist,0.63828125,0.587086012140393
tstcc,combined,3,linear,full,UCI,0.5703125,0.5327996678262876
tstcc,combined,3,linear,full,WISDM,0.69296875,0.4850144518322535
