dataset,rank,user,n_windows
UCI,0,16.0,120
UCI,1,12.0,110
UCI,2,29.0,116
UCI,3,26.0,122
UCI,4,17.0,123
UCI,5,25.0,139
UCI,6,20.0,113
UCI,7,22.0,105
UCI,8,18.0,131
UCI,9,10.0,99
UCI,10,30.0,132
UCI,11,7.0,104
UCI,12,5.0,105
UCI,13,11.0,107
UCI,14,3.0,113
UCI,15,23.0,124
UCI,16,14.0,113
UCI,17,19.0,112
UCI,18,28.0,115
UCI,19,15.0,110
UCI,20,13.0,107
MotionSense,0,11,196
MotionSense,1,2,214
MotionSense,2,8,229
MotionSense,3,19,244
MotionSense,4,18,230
MotionSense,5,22,196
MotionSense,6,23,204
MotionSense,7,20,201
MotionSense,8,9,198
MotionSense,9,15,215
MotionSense,10,13,165
MotionSense,11,4,215
MotionSense,12,3,225
MotionSense,13,21,241
MotionSense,14,24,187
MotionSense,15,7,211
MotionSense,16,5,187
KuHar,0,1078,10
KuHar,1,1037,60
KuHar,2,1045,48
KuHar,3,1047,9
KuHar,4,1051,14
KuHar,5,1027,51
KuHar,6,1046,65
KuHar,7,1070,6
KuHar,8,1055,8
KuHar,9,1032,11
KuHar,10,1041,62
KuHar,11,1068,14
KuHar,12,1065,10
KuHar,13,1034,77
KuHar,14,1062,9
KuHar,15,1001,1
KuHar,16,1008,11
KuHar,17,1021,10
KuHar,18,1066,7
KuHar,19,1056,8
KuHar,20,1020,8
KuHar,21,1050,7
KuHar,22,1058,11
KuHar,23,1003,9
KuHar,24,1014,40
KuHar,25,1039,82
KuHar,26,1007,10
KuHar,27,1010,4
KuHar,28,1073,9
KuHar,29,1071,10
KuHar,30,1006,14
KuHar,31,1072,7
KuHar,32,1048,8
KuHar,33,1042,95
KuHar,34,1053,6
KuHar,35,1067,7
KuHar,36,1018,7
KuHar,37,1077,6
KuHar,38,1040,69
KuHar,39,1036,48
KuHar,40,1060,5
KuHar,41,1026,70
KuHar,42,1049,10
KuHar,43,1009,5
KuHar,44,1054,6
KuHar,45,1079,10
KuHar,46,1024,103
KuHar,47,1035,8
KuHar,48,1061,5
KuHar,49,1064,9
KuHar,50,1075,6
KuHar,51,1080,19
KuHar,52,1017,9
KuHar,53,1044,74
KuHar,54,1043,90
KuHar,55,1028,4
KuHar,56,1052,11
WISDM,0,1603,239
WISDM,1,1613,238
WISDM,2,1633,236
WISDM,3,1637,236
WISDM,4,1642,236
WISDM,5,1649,240
WISDM,6,1650,236
WISDM,7,1629,476
WISDM,8,1644,236
WISDM,9,1600,236
WISDM,10,1610,236
WISDM,11,1636,236
WISDM,12,1620,236
WISDM,13,1627,236
WISDM,14,1609,236
WISDM,15,1604,236
WISDM,16,1635,236
WISDM,17,1626,235
WISDM,18,1643,236
WISDM,19,1619,239
WISDM,20,1641,236
WISDM,21,1624,236
WISDM,22,1621,237
WISDM,23,1616,236
WISDM,24,1631,236
WISDM,25,1628,236
WISDM,26,1618,236
WISDM,27,1645,236
WISDM,28,1632,236
WISDM,29,1630,236
WISDM,30,1638,236
WISDM,31,1622,236
WISDM,32,1646,236
WISDM,33,1639,236
WISDM,34,1611,236
WISDM,35,1648,236
RealWorld_thigh,0,proband4,1204
RealWorld_thigh,1,proband2,957
RealWorld_thigh,2,proband15,1019
RealWorld_thigh,3,proband9,1003
RealWorld_thigh,4,proband13,1065
RealWorld_thigh,5,proband3,1030
RealWorld_thigh,6,proband14,1000
RealWorld_thigh,7,proband11,1035
RealWorld_thigh,8,proband6,976
RealWorld_thigh,9,proband7,1049
RealWorld_waist,0,proband13,1064
RealWorld_waist,1,proband2,958
RealWorld_waist,2,proband9,1004
RealWorld_waist,3,proband4,1201
RealWorld_waist,4,proband7,1049
RealWorld_waist,5,proband15,1018
RealWorld_waist,6,proband11,1034
RealWorld_waist,7,proband6,976
RealWorld_waist,8,proband3,1028
RealWorld_waist,9,proband14,1000
